"Отметка времени","На каком курсе вы на данный момент учитесь? ","На 1 курсе из всех предметов мне показались самыми сложными/трудозатратными/занимающими довольно много времени... ","На 2 курсе из всех предметов мне показались самыми сложными/трудозатратными/занимающими довольно много времени... ","На 3 курсе из всех предметов мне показались самыми сложными/трудозатратными/занимающими довольно много времени... ","В среднем на поиск необходимой информации в учебниках я трачу... ","Когда мне необходимо найти нужную информацию, я иду ... "
"2025/05/03 4:20:15 PM GMT+3","3 курс","Анатомия человека;Гистология","Анатомия человека;Биохимия;Микробиология;Нормальная физиология;Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология","10-20 минут","все вместе, потому что каждый раз информация находится в разных источниках"
"2025/05/03 4:36:48 PM GMT+3","1 курс","Анатомия человека;Гистология","Еще не дошел до 2-го курса","Еще не дошел до 3-го курса","Обычно много, но иногда бывают ситуации, когда приходится искать менее 5 минут","Искать её в интернете"
"2025/05/03 4:42:07 PM GMT+3","3 курс","Анатомия человека;Гистология","Биохимия;Нормальная физиология","Пропедевтика внутренних болезней;Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология;Фармакология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 4:43:19 PM GMT+3","3 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Анатомия человека;Биохимия;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Фармакология;Лучевая диагностика","Более 20 минут","Искать её в интернете"
"2025/05/03 4:44:11 PM GMT+3","3 курс","Общая и биоорганическая химия;Физика, математика","Анатомия человека;Биохимия;Нормальная физиология;Медицинская информатика;Пропедевтика внутренних болезней","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней","Более 20 минут","Искать её в книге"
"2025/05/03 4:45:15 PM GMT+3","3 курс","Ни один из вышеперечисленных","Ни один из вышеперечисленных","Топографическая анатомия и оперативная хирургия;Лучевая диагностика","Меньше 5 минут","Искать её в интернете"
"2025/05/03 4:48:31 PM GMT+3","3 курс","Анатомия человека;Гистология","Биохимия;Микробиология;Нормальная физиология;Топографическая анатомия и оперативная хирургия","Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Пропедевтика детских болезней;Фармакология","Более 20 минут","Искать её в интернете"
"2025/05/03 4:50:44 PM GMT+3","3 курс","Анатомия человека","Нормальная физиология;Основы формирования здоровья детей","Топографическая анатомия и оперативная хирургия;Патофизиология, клиническая патофизиология;Лучевая диагностика","Меньше 5 минут","Искать её в книге"
"2025/05/03 4:53:20 PM GMT+3","3 курс","Анатомия человека;Гистология;Общая и биоорганическая химия","Анатомия человека;Биохимия;Микробиология;Нормальная физиология","Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Фармакология;Иммунология","Обычно мало, но иногда бывают ситуации, когда приходится искать более 10 минут","Искать её в интернете"
"2025/05/03 4:57:19 PM GMT+3","3 курс","Анатомия человека;Общая и биоорганическая химия;Физика, математика","Анатомия человека;Биохимия;Топографическая анатомия и оперативная хирургия","Топографическая анатомия и оперативная хирургия;Патологическая анатомия, клиническая патологическая анатомия;Патофизиология, клиническая патофизиология;Фармакология","5-10 минут","Искать её в интернете"
